id,name,local_name,aliases,country_code,prefecture_codes,region_codes,city,lat,lon,domain,noodle_category,cultural_scope,publication_status,form,noodle_materials,noodle_shape,broth_bases,seasonings,keywords,summary,background,variation,parent_style_ids,public_source_ids,verification_level,reviewed_at,ingredients,tags,allergen_note,tradition,uniqueness,adventure,score_method,slug
jp-126,キーシマ,,,JP,26,kinki,,35.02,135.76,japan,ramen,regional,published,,wheat,,,,wa_dashi,,,,,jra-2025|epsilon-method,basic,2026-08-04,,和風だし,,,,,,
jp-127,高井田系ラーメン,,,JP,27,kinki,,34.69,135.5,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,濃口醤油|濃い色|太い麺,,,,,,
jp-128,大阪ライト豚骨,,,JP,27,kinki,,34.69,135.5,japan,ramen,regional,published,,wheat,,,,tonkotsu,,,,,jra-2025|epsilon-method,basic,2026-08-04,,豚骨|濃厚,,,,,,
jp-129,神戸ラーメン,,,JP,28,kinki,,34.69,135.18,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-130,えきそば,,,JP,28,kinki,,34.69,135.18,japan,ramen,regional,published,,wheat,,,,wa_dashi,,,,,jra-2025|epsilon-method,basic,2026-08-04,,和風だし,,,,,,
jp-131,播州ラーメン,,,JP,28,kinki,,34.69,135.18,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-132,播州赤穂塩ラーメン,,,JP,28,kinki,,34.69,135.18,japan,ramen,regional,published,,wheat,,,,salt,,,,,jra-2025|epsilon-method,basic,2026-08-04,,塩|澄んだ味わい,,,,,,
jp-133,尼崎あんかけちゃんぽん,,,JP,28,kinki,,34.69,135.18,japan,ramen,regional,published,,wheat,,,,chanpon|thickened,,,,,jra-2025|epsilon-method,basic,2026-08-04,,野菜|魚介|具だくさん|あんかけ,,,,,,
jp-134,近江ちゃんぽん,,,JP,25,kinki,,35.0,135.87,japan,ramen,regional,published,,wheat,,,,chanpon,,,,,jra-2025|epsilon-method,basic,2026-08-04,,野菜|魚介|具だくさん,,,,,,
jp-135,天理ラーメン,,,JP,29,kinki,,34.69,135.83,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-136,和歌山ラーメン,,,JP,30,kinki,,34.23,135.17,japan,ramen,regional,published,soup,wheat,細めのストレート麺,豚骨|鶏ガラ,醤油だれ,tonkotsu_soy,,,,,jra-2025|epsilon-method|src-v230-jra-2025|src-v230-ramenmuseum-wakayama,reviewed,2026-08-10,チャーシュー|メンマ|ねぎ|かまぼこ,豚骨醤油|中細麺,,,,,,
jp-137,素ラーメン,,,JP,31,chugoku,,35.5,134.24,japan,ramen,regional,published,,wheat,,,,wa_dashi,,,,,jra-2025|epsilon-method,basic,2026-08-04,,和風だし,,,,,,
jp-138,鳥取牛骨ラーメン,,,JP,31,chugoku,,35.5,134.24,japan,ramen,regional,published,,wheat,,,,beef_bone,,,,,jra-2025|epsilon-method,basic,2026-08-04,,牛骨,,,,,,
jp-139,山陰ちゃんぽん,,,JP,31|32,chugoku,,35.47,133.65,japan,ramen,regional,published,,wheat,,,,chanpon,,,,,jra-2025|epsilon-method,basic,2026-08-04,,野菜|魚介|具だくさん,,,,,,
jp-140,しじみラーメン,,,JP,32,chugoku,,35.47,133.05,japan,ramen,regional,published,,wheat,,,,shellfish,,,,,jra-2025|epsilon-method,basic,2026-08-04,,貝のうま味,,,,,,
jp-141,松江ラーメン,,,JP,32,chugoku,,35.47,133.05,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-142,岡山ラーメン,,,JP,33,chugoku,,34.66,133.93,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-143,トンカツラーメン,,,JP,33,chugoku,,34.66,133.93,japan,ramen,regional,published,,wheat,,,,cutlet,,,,,jra-2025|epsilon-method,basic,2026-08-04,,カツ,,,,,,
jp-144,新見ラーメン,,,JP,33,chugoku,,34.66,133.93,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-145,笠岡ラーメン,,,JP,33,chugoku,,34.66,133.93,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-146,広島ラーメン,,,JP,34,chugoku,,34.4,132.46,japan,ramen,regional,published,soup,wheat,細め〜中細のストレート麺,豚骨|鶏ガラ|魚介,醤油だれ,,,,,,jra-2025|epsilon-method|src-v230-jra-2025|src-v230-ramenmuseum-hiroshima,reviewed,2026-08-10,チャーシュー|ねぎ|もやし|メンマ,豚骨醤油|中細麺,,,,,,
jp-147,広島つけ麺,,,JP,34,chugoku,,34.4,132.46,japan,ramen,regional,published,,wheat,,,,dipping,,,,,jra-2025|epsilon-method,basic,2026-08-04,,つけ麺,,,,,,
jp-148,汁無し担々麺,,,JP,34,chugoku,,34.4,132.46,japan,ramen,regional,published,,wheat,,,,spicy|dry,,,,,jra-2025|epsilon-method,basic,2026-08-04,,辛味|香辛料|汁なし,,,,,,
jp-149,尾道ラーメン,,,JP,34,chugoku,,34.4,132.46,japan,ramen,regional,published,soup,wheat,少加水の中細ストレート麺,鶏ガラ|瀬戸内の小魚|豚骨（店による）,醤油だれ,,,,,,jra-2025|epsilon-method|src-v230-jra-2025|src-v230-ramenmuseum-onomichi,reviewed,2026-08-10,背脂|ねぎ|チャーシュー|メンマ,醤油|魚介|背脂|油のコク|平打ち麺,,,,,,
jp-150,呉冷麺,,,JP,34,chugoku,,34.4,132.46,japan,ramen,regional,published,,wheat,,,,cold,,,,,jra-2025|epsilon-method,basic,2026-08-04,,冷製|さっぱり,,,,,,
jp-151,広島牡蠣ラーメン,,,JP,34,chugoku,,34.4,132.46,japan,ramen,regional,published,,wheat,,,,oyster,,,,,jra-2025|epsilon-method,basic,2026-08-04,,牡蠣,,,,,,
jp-152,宇部ラーメン,,,JP,35,chugoku,,34.19,131.47,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-153,下松牛骨ラーメン,,,JP,35,chugoku,,34.19,131.47,japan,ramen,regional,published,,wheat,,,,beef_bone,,,,,jra-2025|epsilon-method,basic,2026-08-04,,牛骨,,,,,,
jp-154,瀬戸内ラーメンいりこそば,,,JP,35,chugoku,,34.19,131.47,japan,ramen,regional,published,,wheat,,,,niboshi,,,,,jra-2025|epsilon-method,basic,2026-08-04,,煮干し,,,,,,
jp-155,徳島ラーメン,,,JP,36,shikoku,,34.07,134.56,japan,ramen,regional,published,soup,wheat,細め〜中細のストレート麺,豚骨,甘辛い醤油だれ,sweet_soy,,,,,jra-2025|epsilon-method|src-v230-jra-2025|src-v230-ramenmuseum-tokushima,reviewed,2026-08-10,豚ばら肉|生卵|ねぎ|もやし,甘辛い醤油|豚骨醤油,,,,,,
jp-156,松山瓢系ラーメン,,,JP,38,shikoku,,33.84,132.77,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-157,今治ラーメン,,,JP,38,shikoku,,33.84,132.77,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-158,八幡浜ちゃんぽん,,,JP,38,shikoku,,33.84,132.77,japan,ramen,regional,published,,wheat,,,,chanpon,,,,,jra-2025|epsilon-method,basic,2026-08-04,,野菜|魚介|具だくさん,,,,,,
jp-159,みそカツラーメン,,,JP,39,shikoku,,33.56,133.53,japan,ramen,regional,published,,wheat,,,,miso,,,,,jra-2025|epsilon-method,basic,2026-08-04,,味噌|発酵のコク,,,,,,
jp-160,須崎鍋焼きラーメン,,,JP,39,shikoku,,33.56,133.53,japan,ramen,regional,published,,wheat,,,,fried,,,,,jra-2025|epsilon-method,basic,2026-08-04,,焼き・炒め,,,,,,
jp-161,中日そば,,,JP,39,shikoku,,33.56,133.53,japan,ramen,regional,published,,wheat,,,,wa_dashi,,,,,jra-2025|epsilon-method,basic,2026-08-04,,和風だし,,,,,,
jp-162,博多ラーメン,,,JP,40,kyushu_okinawa,,33.59,130.4,japan,ramen,regional,published,soup,wheat,極細の低加水ストレート麺,豚骨,塩・醤油だれ（店による）,tonkotsu,,,,,jra-2025|epsilon-method|src-v230-jra-2025|src-v230-ramenmuseum-hakata,reviewed,2026-08-10,チャーシュー|ねぎ|きくらげ|紅しょうが|ごま,豚骨|濃厚|細麺|替え玉文化,,,,,,
jp-163,長浜ラーメン,,,JP,40,kyushu_okinawa,,33.59,130.4,japan,ramen,regional,published,,wheat,,,,tonkotsu,,,,,jra-2025|epsilon-method,basic,2026-08-04,,豚骨|濃厚|細麺|替え玉文化,,,,,,
jp-164,焼きラーメン,,,JP,40,kyushu_okinawa,,33.59,130.4,japan,ramen,regional,published,,wheat,,,,fried,,,,,jra-2025|epsilon-method,basic,2026-08-04,,焼き・炒め,,,,,,
jp-165,久留米ラーメン,,,JP,40,kyushu_okinawa,,33.59,130.4,japan,ramen,regional,published,soup,wheat,細めのストレート麺,豚骨,塩・醤油だれ（店による）,tonkotsu,,,,,jra-2025|epsilon-method|src-v230-jra-2025|src-v230-ramenmuseum-kurume,reviewed,2026-08-10,チャーシュー|ねぎ|きくらげ|のり等,豚骨|濃厚|濃厚な豚骨,,,,,,
jp-166,ちゃんらー,,,JP,40,kyushu_okinawa,,33.59,130.4,japan,ramen,regional,published,,wheat,,,,wa_dashi,,,,,jra-2025|epsilon-method,basic,2026-08-04,,和風だし,,,,,,
jp-167,戸畑ちゃんぽん,,,JP,40,kyushu_okinawa,,33.59,130.4,japan,ramen,regional,published,,wheat,,,,chanpon,,,,,jra-2025|epsilon-method,basic,2026-08-04,,野菜|魚介|具だくさん,,,,,,
jp-168,佐賀ラーメン,,,JP,41,kyushu_okinawa,,33.25,130.3,japan,ramen,regional,published,,wheat,,,,tonkotsu,,,,,jra-2025|epsilon-method,basic,2026-08-04,,豚骨|濃厚,,,,,,
jp-169,佐賀ちゃんぽん,,,JP,41,kyushu_okinawa,,33.25,130.3,japan,ramen,regional,published,,wheat,,,,chanpon,,,,,jra-2025|epsilon-method,basic,2026-08-04,,野菜|魚介|具だくさん,,,,,,
jp-170,マジェンバ,,,JP,41,kyushu_okinawa,,33.25,130.3,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-171,あごだしラーメン,,,JP,42,kyushu_okinawa,,32.75,129.88,japan,ramen,regional,published,,wheat,,,,flying_fish,,,,,jra-2025|epsilon-method,basic,2026-08-04,,あごだし,,,,,,
jp-172,長崎ちゃんぽん,,,JP,42,kyushu_okinawa,,32.75,129.88,japan,ramen,regional,published,,wheat,,,,chanpon,,,,,jra-2025|epsilon-method,basic,2026-08-04,,野菜|魚介|具だくさん,,,,,,
jp-173,熊本ラーメン,,,JP,43,kyushu_okinawa,,32.79,130.74,japan,ramen,regional,published,soup,wheat,中細〜中太のストレート麺,豚骨|鶏ガラ,塩・醤油だれ,tonkotsu,,,,,jra-2025|epsilon-method|src-v230-jra-2025|src-v230-ramenmuseum-kumamoto,reviewed,2026-08-10,焦がしにんにく|マー油|チャーシュー|きくらげ|ねぎ,豚骨|濃厚|にんにく,,,,,,
jp-174,玉名ラーメン,,,JP,43,kyushu_okinawa,,32.79,130.74,japan,ramen,regional,published,,wheat,,,,tonkotsu,,,,,jra-2025|epsilon-method,basic,2026-08-04,,豚骨|濃厚|にんにく|焦がしにんにく,,,,,,
jp-175,天草ちゃんぽん,,,JP,43,kyushu_okinawa,,32.79,130.74,japan,ramen,regional,published,,wheat,,,,chanpon,,,,,jra-2025|epsilon-method,basic,2026-08-04,,野菜|魚介|具だくさん,,,,,,
jp-176,太平燕,,,JP,43,kyushu_okinawa,,32.79,130.74,japan,other,regional,published,,wheat,,,,glass_noodle,,,,,jra-2025|epsilon-method,basic,2026-08-04,,春雨,,,,,,
jp-177,佐伯ラーメン,,,JP,44,kyushu_okinawa,,33.24,131.61,japan,ramen,regional,published,,wheat,,,,,,,,,jra-2025|epsilon-method,basic,2026-08-04,,,,,,,,
jp-178,別府冷麺,,,JP,44,kyushu_okinawa,,33.24,131.61,japan,ramen,regional,published,,wheat,,,,cold,,,,,jra-2025|epsilon-method,basic,2026-08-04,,冷製|さっぱり,,,,,,
jp-179,宮崎ラーメン,,,JP,45,kyushu_okinawa,,31.91,131.42,japan,ramen,regional,published,,wheat,,,,tonkotsu,,,,,jra-2025|epsilon-method,basic,2026-08-04,,豚骨|濃厚|地域ごとの穏やかな豚骨,,,,,,
jp-180,宮崎辛麺,,,JP,45,kyushu_okinawa,,31.91,131.42,japan,ramen,regional,published,,wheat,,,,spicy,,,,,jra-2025|epsilon-method,basic,2026-08-04,,辛味|香辛料,,,,,,
jp-181,鹿児島ラーメン,,,JP,46,kyushu_okinawa,,31.6,130.56,japan,ramen,regional,published,soup,wheat,中くらい〜太めで比較的やわらかい麺,豚骨|鶏ガラ|野菜|魚介（店による）,塩・醤油だれ（店による）,tonkotsu,,,,,jra-2025|epsilon-method|src-v230-jra-2025|src-v230-ramenmuseum-kagoshima,reviewed,2026-08-10,チャーシュー|ねぎ|もやし|焦がしねぎ等,豚骨|濃厚|地域ごとの穏やかな豚骨,,,,,,
jp-182,串木野まぐろラーメン,,,JP,46,kyushu_okinawa,,31.6,130.56,japan,ramen,regional,published,,wheat,,,,tuna,,,,,jra-2025|epsilon-method,basic,2026-08-04,,まぐろ,,,,,,
jp-183,枕崎かつおラーメン,,,JP,46,kyushu_okinawa,,31.6,130.56,japan,ramen,regional,published,,wheat,,,,bonito|cutlet,,,,,jra-2025|epsilon-method,basic,2026-08-04,,かつお|カツ,,,,,,
jp-184,ちゅら塩ラーメン,,,JP,47,kyushu_okinawa,,26.21,127.68,japan,ramen,regional,published,,wheat,,,,salt,,,,,jra-2025|epsilon-method,basic,2026-08-04,,塩|澄んだ味わい,,,,,,
jp-185,沖縄そば,,,JP,47,kyushu_okinawa,,26.21,127.68,japan,other,regional,published,,wheat,,,,okinawa_noodle,,,,,jra-2025|epsilon-method,basic,2026-08-04,,沖縄そば麺,,,,,,
world-001,蘭州牛肉麺,兰州牛肉面,,中国,,,蘭州,36.06,103.83,world,world_noodle,international,published,soup,wheat,hand_pulled,beef|radish,salt|chili_oil,牛肉|香草|手延べ|澄んだスープ,澄んだ牛肉スープと手延べ麺を軸に、香草や辣油を好みで重ねる中国西北部の麺料理。,,,,world-china|epsilon-method,basic,2026-08-04,,牛肉|香草|手延べ|澄んだスープ,,,,,,
world-002,台湾牛肉麺,臺灣牛肉麵,,台湾,,,台北,25.04,121.56,world,world_noodle,international,published,soup,wheat,cut,beef|soy,soy|spice,牛肉|醤油|香辛料|煮込み,牛肉を香辛料や醤油系の味付けで煮込み、そのスープと小麦麺を味わう台湾を代表する麺料理。,,,,world-taiwan|epsilon-method,basic,2026-08-04,,牛肉|醤油|香辛料|煮込み,,,,,,
world-003,雲呑麺,雲吞麵,,香港,,,香港,22.32,114.17,world,world_noodle,international,published,soup,wheat,thin,seafood|pork,salt|soy,海老|雲呑|細麺|澄んだスープ,細い小麦麺と雲呑を澄んだスープで味わう広東圏の麺料理。,,,,world-hongkong|epsilon-method,basic,2026-08-04,,海老|雲呑|細麺|澄んだスープ,,,,,,
world-004,過橋米線,过桥米线,,中国,,,昆明,25.04,102.72,world,world_noodle,international,published,soup,rice,round,chicken|pork,salt,米線|熱いスープ|別添え具材,熱いスープへ米線と別添えの具材を加えて仕上げる雲南の麺料理。,,,,world-china|epsilon-method,basic,2026-08-04,,米線|熱いスープ|別添え具材,,,,,,
world-005,重慶小麺,重庆小面,,中国,,,重慶,29.56,106.55,world,world_noodle,international,published,soup,wheat,thin,pork|vegetable,chili|soy,辛味|花椒|香辛料|細麺,唐辛子や花椒をきかせた調味だれと小麦麺を楽しむ重慶の庶民的な麺料理。,,,,world-china|epsilon-method,basic,2026-08-04,,辛味|花椒|香辛料|細麺,,,,,,
world-006,螺蛳粉,螺蛳粉,,中国,,,柳州,24.33,109.42,world,world_noodle,international,published,soup,rice,round,snail|pork,chili|fermented,発酵|酸味|辛味|米粉麺,発酵タケノコなどの強い香りと辛味、酸味を組み合わせる柳州の米粉麺料理。,,,,world-china|epsilon-method,basic,2026-08-04,,発酵|酸味|辛味|米粉麺,,,,,,
world-007,ラミョン,라면,,韓国,,,全国,36.5,127.9,world,ramen,international,published,instant,wheat,curly,mixed,chili|soy,即席麺|辛味|鍋調理,韓国で広く親しまれる即席麺文化。鍋で具材と煮込み、辛味のあるスープで食べることが多い。,,,,korea-tourism|epsilon-method,basic,2026-08-04,,即席麺|辛味|鍋調理,,,,,,
world-008,チャンポン,짬뽕,,韓国,,,仁川,37.46,126.7,world,world_noodle,international,published,soup,wheat,medium,seafood|pork,chili,海鮮|辛味|炒め野菜,海鮮や野菜を炒め、赤く辛いスープと小麦麺を合わせる韓国式の麺料理。,,,,world-korea|epsilon-method,basic,2026-08-04,,海鮮|辛味|炒め野菜,,,,,,
world-009,カルグクス,칼국수,,韓国,,,全国,36.5,127.9,world,world_noodle,international,published,soup,wheat,knife_cut,chicken|seafood,salt,手切り麺|やさしい味|出汁,包丁で切った小麦麺を、鶏や魚介などの穏やかな出汁で煮る韓国の麺料理。,,,,world-korea|epsilon-method,basic,2026-08-04,,手切り麺|やさしい味|出汁,,,,,,
world-010,冷麺,냉면,,韓国,,,平壌・咸興,39.04,125.76,world,world_noodle,international,published,cold,buckwheat|starch,thin,beef,vinegar|mustard,冷製|酸味|弾力|そば粉,冷たいスープまたは辛い和えだれで、弾力のある麺を味わう朝鮮半島の麺料理。,,,,world-korea|epsilon-method,basic,2026-08-04,,冷製|酸味|弾力|そば粉,,,,,,
world-011,フォー・ボー,phở bò,,ベトナム,,,ハノイ,21.03,105.85,world,world_noodle,international,published,soup,rice,flat,beef,fish_sauce|spice,牛骨|米麺|香草|澄んだスープ,牛肉の出汁、平たい米麺、香草を組み合わせるベトナムの代表的な汁麺。,,,,vietnam-tourism-pho|epsilon-method,basic,2026-08-04,,牛骨|米麺|香草|澄んだスープ,,,,,,
world-012,ブンボーフエ,bún bò Huế,,ベトナム,,,フエ,16.46,107.59,world,world_noodle,international,published,soup,rice,round,beef|pork,fish_sauce|chili|lemongrass,辛味|レモングラス|太い米麺,牛や豚の出汁にレモングラスと辛味をきかせ、丸い米麺を合わせるフエの麺料理。,,,,vietnam-tourism-food|epsilon-method,basic,2026-08-04,,辛味|レモングラス|太い米麺,,,,,,
world-013,フーティウ,hủ tiếu,,ベトナム,,,ホーチミン,10.78,106.7,world,world_noodle,international,published,soup,rice|tapioca,thin,pork|seafood,fish_sauce,豚|海鮮|米麺|汁あり・汁なし,豚や海鮮の出汁と細い麺を合わせ、汁ありと汁なしの両方で食べられる南部の麺料理。,,,,vietnam-tourism-food|epsilon-method,basic,2026-08-04,,豚|海鮮|米麺|汁あり・汁なし,,,,,,
world-014,クイティウ,គុយទាវ,,カンボジア,,,プノンペン,11.56,104.93,world,world_noodle,international,published,soup,rice,thin,pork|beef,fish_sauce,朝食|米麺|澄んだスープ,細い米麺を肉や魚介の澄んだスープで味わうカンボジアの定番麺料理。,,,,world-cambodia|epsilon-method,basic,2026-08-04,,朝食|米麺|澄んだスープ,,,,,,
world-015,ボートヌードル,ก๋วยเตี๋ยวเรือ,,タイ,,,バンコク,13.76,100.5,world,world_noodle,international,published,soup,rice,thin,beef|pork,soy|spice,濃厚|香辛料|小ぶりな器,濃い色のスープと香辛料を特徴とし、小ぶりな器で供されることの多いタイの麺料理。,,,,world-thailand|epsilon-method,basic,2026-08-04,,濃厚|香辛料|小ぶりな器,,,,,,
world-016,トムヤムヌードル,ก๋วยเตี๋ยวต้มยำ,,タイ,,,全国,13.76,100.5,world,world_noodle,international,published,soup,rice|wheat,thin,seafood|pork,chili|lime|fish_sauce,酸味|辛味|レモングラス,トムヤムの酸味と辛味を麺料理へ取り入れたタイの汁麺。,,,,world-thailand|epsilon-method,basic,2026-08-04,,酸味|辛味|レモングラス,,,,,,
world-017,カオソーイ,ข้าวซอย,,タイ,,,チェンマイ,18.79,98.99,world,world_noodle,international,published,soup,wheat,flat,chicken|beef,curry|coconut,カレー|ココナッツ|揚げ麺,ココナッツを使うカレー風味のスープに、ゆで麺と揚げ麺を重ねるタイ北部の麺料理。,,,,world-thailand|epsilon-method,basic,2026-08-04,,カレー|ココナッツ|揚げ麺,,,,,,
world-018,カレーラクサ,curry laksa,,マレーシア・シンガポール,,,海峡地域,2.9,101.7,world,world_noodle,international,published,soup,rice|wheat,round,seafood|chicken,curry|coconut|chili,ココナッツ|辛味|海鮮,ココナッツミルクと香辛料を使う濃厚で辛いスープの麺料理。,,,,singapore-tourism-laksa|epsilon-method,basic,2026-08-04,,ココナッツ|辛味|海鮮,,,,,,
world-019,アッサムラクサ,asam laksa,,マレーシア,,,ペナン,5.41,100.34,world,world_noodle,international,published,soup,rice,round,fish,tamarind|chili,魚|酸味|タマリンド|香草,魚の出汁にタマリンドの強い酸味を加える、ペナンを代表するラクサ。,,,,world-malaysia|epsilon-method,basic,2026-08-04,,魚|酸味|タマリンド|香草,,,,,,
world-020,プロウンミー,prawn mee,,シンガポール・マレーシア,,,海峡地域,1.35,103.82,world,world_noodle,international,published,soup,wheat|rice,mixed,prawn|pork,chili|soy,海老|甲殻類|濃い出汁,海老の殻などから取る濃い出汁と麺を合わせる海峡地域の麺料理。,,,,world-singapore|epsilon-method,basic,2026-08-04,,海老|甲殻類|濃い出汁,,,,,,
world-021,ミー・チェロール,mi celor,,インドネシア,,,パレンバン,-2.99,104.76,world,world_noodle,international,published,soup,wheat,thick,prawn,coconut|egg,海老|ココナッツ|とろみ,海老の出汁とココナッツを使う、とろみのある濃厚なスープの麺料理。,,,,world-indonesia|epsilon-method,basic,2026-08-04,,海老|ココナッツ|とろみ,,,,,,
world-022,ミー・バクソ,mi bakso,,インドネシア,,,全国,-6.2,106.85,world,world_noodle,international,published,soup,wheat|rice,mixed,beef,salt|soy,肉団子|澄んだスープ|屋台,弾力のある肉団子と麺を澄んだスープで味わうインドネシアの定番料理。,,,,world-indonesia|epsilon-method,basic,2026-08-04,,肉団子|澄んだスープ|屋台,,,,,,
world-023,モヒンガー,မုန့်ဟင်းခါး,,ミャンマー,,,全国,16.84,96.17,world,world_noodle,international,published,soup,rice,round,fish,lemongrass|fermented,魚|米麺|香草|朝食,魚のスープに米麺を合わせ、香草や豆粉などで厚みをつけるミャンマーの代表的な麺料理。,,,,world-myanmar|epsilon-method,basic,2026-08-04,,魚|米麺|香草|朝食,,,,,,
world-024,トゥクパ,thukpa,,チベット・ネパール・インド,,,ヒマラヤ地域,28.2,84.0,world,world_noodle,international,published,soup,wheat,hand_cut,meat|vegetable,salt|spice,野菜|肉|温かいスープ,肉や野菜を入れた温かいスープと小麦麺を味わうヒマラヤ圏の麺料理。,,,,world-himalaya|epsilon-method,basic,2026-08-04,,野菜|肉|温かいスープ,,,,,,
world-025,テントゥク,འཐེན་ཐུག་,,チベット,,,ラサ,29.65,91.17,world,world_noodle,international,published,soup,wheat,hand_torn,meat|vegetable,salt,手ちぎり麺|煮込み|素朴,小麦生地を手でちぎりながらスープへ入れて煮るチベットの麺料理。,,,,world-himalaya|epsilon-method,basic,2026-08-04,,手ちぎり麺|煮込み|素朴,,,,,,
world-026,ラグマン,laghman,,中央アジア,,,新疆・中央アジア,41.0,71.0,world,world_noodle,international,published,soup,wheat,hand_pulled,lamb|vegetable,spice,羊肉|手延べ|野菜,手延べの小麦麺に羊肉や野菜の煮込みを合わせる中央アジアの麺料理。,,,,world-central-asia|epsilon-method,basic,2026-08-04,,羊肉|手延べ|野菜,,,,,,
world-027,アーシュ・レシュテ,آش رشته,,イラン,,,全国,35.69,51.39,world,world_noodle,international,published,soup,wheat,flat,legume|herb,fermented_dairy,豆|香草|発酵乳|濃厚,豆や香草をたっぷり使う濃厚なスープに平たい麺を加えるイランの料理。,,,,world-iran|epsilon-method,basic,2026-08-04,,豆|香草|発酵乳|濃厚,,,,,,
world-028,サイミン,saimin,,アメリカ合衆国・ハワイ,,,ハワイ,21.31,-157.86,world,ramen,international,published,soup,wheat|egg,thin,seafood|pork,soy|salt,多文化|澄んだスープ|細麺,日本、中国、フィリピンなどの食文化が交わって発展したハワイの麺料理。,,,,world-hawaii|epsilon-method,basic,2026-08-04,,多文化|澄んだスープ|細麺,,,,,,
world-029,ソパ・ワンタン,sopa wantán,,ペルー,,,リマ,-12.05,-77.04,world,world_noodle,international,published,soup,wheat,thin,chicken|pork,soy,中華系|雲呑|鶏スープ,中華系移民文化を背景に、雲呑と麺を鶏系スープで味わうペルーの料理。,,,,world-peru|epsilon-method,basic,2026-08-04,,中華系|雲呑|鶏スープ,,,,,,
world-030,ソパ・デ・フィデオ,sopa de fideo,,メキシコ,,,全国,19.43,-99.13,world,world_noodle,international,published,soup,wheat,vermicelli,tomato|chicken,tomato,短い麺|トマト|家庭料理,短い細麺をトマトや鶏のスープで煮る、家庭的なメキシコの麺料理。,,,,world-mexico|epsilon-method,basic,2026-08-04,,短い麺|トマト|家庭料理,,,,,,
jp-yakisoba-kitami-shio,オホーツク北見塩やきそば,,北見塩やきそば,JP,01,hokkaido,北見市,43.804,143.895,japan,yakisoba,regional,published,fried,小麦麺,中太の蒸し麺,ほたて・魚介のうま味,塩だれ,北海道|北見|オホーツク|塩やきそば|ほたて|たまねぎ,オホーツク産ほたてと北見産たまねぎを生かし、塩だれで仕上げる北見市のご当地焼きそば。,地域の農水産物を一皿で発信するご当地グルメとして開発され、提供ルールを共有する店舗で展開されている。,野菜、麺の焼き具合、塩だれの濃さ、鉄板での演出は店ごとに異なる。,jp-style-yakisoba-salt,src-jp-yakisoba-kitami-shio-1|src-jp-yakisoba-kitami-shio-2,reviewed,2026-08-10,オホーツク産ほたて|北見産たまねぎ|季節野菜,salt_sauce|scallop|onion|local_ingredients|seafood|fried,小麦・大豆・ほたて等の魚介を含む。乳、卵、その他の魚介を含む場合がある。,3.4,4.5,2.9,editorial_source_review_v1,yakisoba-kitami-shio
jp-yakisoba-otaru-ankake,小樽あんかけ焼そば,,小樽あんかけ焼きそば,JP,01,hokkaido,小樽市,43.19,140.994,japan,yakisoba,regional,published,fried,小麦麺,焼き付けた中太麺,鶏・豚・魚介のあん,醤油|塩|オイスターソース等,北海道|小樽|あんかけ|焼そば|五目,表面を香ばしく焼いた麺へ、肉・魚介・野菜の熱い五目あんをたっぷりかける小樽の焼そば文化。,市内の中華料理店や食堂で長く親しまれ、100年フードにも認定された地域の食文化。,あんの色と味、具材、麺の焼き加減、からし・酢の使い方は店ごとに大きく異なる。,jp-style-yakisoba-ankake,src-jp-yakisoba-otaru-ankake-1|src-jp-yakisoba-otaru-ankake-2,reviewed,2026-08-10,豚肉|えび・いか等の魚介|白菜|たけのこ|きくらげ,starchy_sauce|seafood|vegetables|crispy_soft_contrast|retro_city_food,小麦・大豆を含む。えび、いか、豚肉、鶏、卵、オイスターソース等を含む場合がある。,4.2,4.1,2.5,editorial_source_review_v1,yakisoba-otaru-ankake
