id,name,collection,country,prefecture,facet_count,facet_ids,display_facet_count,display_facet_ids,manual_reviewed,taste_completeness,broth_seasoning_completeness,noodle_completeness,serving_form_completeness,ingredients_completeness,review_priority
jp-162,博多ラーメン,japan_local_ramen,日本,福岡県,14,soy_sauce|salt|miso|pork_bone|animal_forward|traditional|kaedama|thin_noodle|firm_noodle|soup|rich|umami_forward|garlic|fermented,13,soy_sauce|salt|miso|pork_bone|animal_forward|traditional|kaedama|thin_noodle|firm_noodle|soup|rich|garlic|fermented,true,known,known,known,known,unknown,complete
jp-163,長浜ラーメン,japan_local_ramen,日本,福岡県,12,soy_sauce|salt|miso|pork_bone|animal_forward|kaedama|thin_noodle|firm_noodle|soup|rich|umami_forward|fermented,7,soy_sauce|salt|miso|pork_bone|animal_forward|kaedama|fermented,false,known,known,derived,known,unknown,low
jp-164,焼きラーメン,japan_local_ramen,日本,福岡県,2,fried_griddle|roasted,2,fried_griddle|roasted,false,known,unknown,unknown,known,unknown,high
jp-165,久留米ラーメン,japan_local_ramen,日本,福岡県,11,soy_sauce|salt|miso|pork_bone|animal_forward|traditional|thin_noodle|soup|rich|umami_forward|fermented,10,soy_sauce|salt|miso|pork_bone|animal_forward|traditional|thin_noodle|soup|rich|fermented,true,known,known,known,known,unknown,complete
jp-166,ちゃんらー,japan_local_ramen,日本,福岡県,6,soy_sauce|salt|dashi_forward|seafood_forward|soup|light,4,soy_sauce|salt|dashi_forward|seafood_forward,false,derived,known,unknown,known,unknown,medium
jp-167,戸畑ちゃんぽん,japan_local_ramen,日本,福岡県,10,soy_sauce|salt|miso|seafood_forward|animal_forward|vegetables|seafood_ingredient|soup|umami_forward|fermented,8,soy_sauce|salt|miso|seafood_forward|animal_forward|vegetables|seafood_ingredient|fermented,false,known,known,derived,known,known,low
jp-168,佐賀ラーメン,japan_local_ramen,日本,佐賀県,10,soy_sauce|salt|miso|pork_bone|animal_forward|egg|soup|rich|umami_forward|fermented,7,soy_sauce|salt|miso|pork_bone|animal_forward|egg|fermented,false,known,known,unknown,known,known,medium
jp-169,佐賀ちゃんぽん,japan_local_ramen,日本,佐賀県,10,soy_sauce|salt|miso|seafood_forward|animal_forward|vegetables|seafood_ingredient|soup|umami_forward|fermented,8,soy_sauce|salt|miso|seafood_forward|animal_forward|vegetables|seafood_ingredient|fermented,false,known,known,derived,known,known,low
jp-170,マジェンバ,japan_local_ramen,日本,佐賀県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-171,あごだしラーメン,japan_local_ramen,日本,長崎県,9,soy_sauce|salt|miso|niboshi|dashi_forward|seafood_forward|soup|umami_forward|fermented,7,soy_sauce|salt|miso|niboshi|dashi_forward|seafood_forward|fermented,false,known,known,unknown,known,unknown,medium
jp-172,長崎ちゃんぽん,japan_local_ramen,日本,長崎県,10,soy_sauce|salt|miso|seafood_forward|animal_forward|vegetables|seafood_ingredient|soup|umami_forward|fermented,8,soy_sauce|salt|miso|seafood_forward|animal_forward|vegetables|seafood_ingredient|fermented,false,known,known,derived,known,known,low
jp-173,熊本ラーメン,japan_local_ramen,日本,熊本県,12,soy_sauce|salt|miso|pork_bone|animal_forward|traditional|soup|rich|umami_forward|roasted|garlic|fermented,11,soy_sauce|salt|miso|pork_bone|animal_forward|traditional|soup|rich|roasted|garlic|fermented,true,known,known,known,known,unknown,complete
jp-174,玉名ラーメン,japan_local_ramen,日本,熊本県,11,soy_sauce|salt|miso|pork_bone|animal_forward|soup|rich|umami_forward|roasted|garlic|fermented,8,soy_sauce|salt|miso|pork_bone|animal_forward|roasted|garlic|fermented,false,known,known,unknown,known,unknown,medium
jp-175,天草ちゃんぽん,japan_local_ramen,日本,熊本県,10,soy_sauce|salt|miso|seafood_forward|animal_forward|vegetables|seafood_ingredient|soup|umami_forward|fermented,8,soy_sauce|salt|miso|seafood_forward|animal_forward|vegetables|seafood_ingredient|fermented,false,known,known,derived,known,known,low
jp-176,太平燕,japan_local_ramen,日本,熊本県,3,thin_noodle|glass_noodle|soup,1,glass_noodle,false,derived,unknown,derived,known,unknown,medium
jp-177,佐伯ラーメン,japan_local_ramen,日本,大分県,1,soup,0,,false,derived,unknown,unknown,known,unknown,high
jp-178,別府冷麺,japan_local_ramen,日本,大分県,2,cold|light,1,cold,false,derived,unknown,unknown,known,unknown,high
jp-179,宮崎ラーメン,japan_local_ramen,日本,宮崎県,9,soy_sauce|salt|miso|pork_bone|animal_forward|soup|rich|umami_forward|fermented,6,soy_sauce|salt|miso|pork_bone|animal_forward|fermented,false,known,known,unknown,known,unknown,medium
jp-180,宮崎辛麺,japan_local_ramen,日本,宮崎県,2,soup|spicy,1,spicy,false,known,unknown,unknown,known,unknown,high
jp-181,鹿児島ラーメン,japan_local_ramen,日本,鹿児島県,11,soy_sauce|salt|miso|pork_bone|animal_forward|traditional|soft_noodle|soup|rich|umami_forward|fermented,9,soy_sauce|salt|miso|pork_bone|animal_forward|traditional|soft_noodle|soup|fermented,true,known,known,known,known,unknown,complete
jp-182,串木野まぐろラーメン,japan_local_ramen,日本,鹿児島県,8,soy_sauce|salt|miso|seafood_forward|seafood_ingredient|soup|umami_forward|fermented,6,soy_sauce|salt|miso|seafood_forward|seafood_ingredient|fermented,false,known,known,unknown,known,known,medium
jp-183,枕崎かつおラーメン,japan_local_ramen,日本,鹿児島県,12,soy_sauce|salt|miso|niboshi|seafood_forward|seafood_ingredient|meat_ingredient|tempura|soup|rich|umami_forward|fermented,9,soy_sauce|salt|miso|niboshi|seafood_forward|seafood_ingredient|meat_ingredient|tempura|fermented,false,known,known,unknown,known,known,medium
jp-184,ちゅら塩ラーメン,japan_local_ramen,日本,沖縄県,3,salt|soup|light,1,salt,false,derived,known,unknown,known,unknown,medium
jp-185,沖縄そば,japan_local_ramen,日本,沖縄県,7,soy_sauce|salt|seafood_forward|animal_forward|meat_ingredient|okinawa_soba_noodle|soup,6,soy_sauce|salt|seafood_forward|animal_forward|meat_ingredient|okinawa_soba_noodle,false,derived,known,derived,known,known,low
world-001,蘭州牛肉麺,world_noodle_soup,中国,,7,animal_forward|meat_ingredient|hand_stretched|soup|light|spicy|herbal,4,meat_ingredient|hand_stretched|light|herbal,false,known,derived,derived,known,known,low
world-002,台湾牛肉麺,world_noodle_soup,台湾,,5,soy_sauce|animal_forward|meat_ingredient|stew|spicy,4,soy_sauce|meat_ingredient|stew|spicy,false,known,known,unknown,known,known,medium
world-003,雲呑麺,world_noodle_soup,香港,,8,seafood_forward|animal_forward|seafood_ingredient|wonton|thin_noodle|soup|light|umami_forward,5,seafood_forward|seafood_ingredient|wonton|thin_noodle|light,false,known,known,derived,known,known,low
world-004,過橋米線,world_noodle_soup,中国,,5,animal_forward|rice_noodle|soup|hot|separate_toppings,3,rice_noodle|hot|separate_toppings,false,derived,derived,derived,known,unknown,low
world-005,重慶小麺,world_noodle_soup,中国,,4,animal_forward|thin_noodle|soup|spicy,1,thin_noodle,false,derived,derived,derived,known,unknown,low
world-006,螺蛳粉,world_noodle_soup,中国,,7,animal_forward|rice_noodle|soup|umami_forward|spicy|sour|fermented,1,rice_noodle,false,derived,derived,derived,known,unknown,low
world-007,ラミョン,global_ramen_culture,韓国,,3,instant_noodle|stew|spicy,2,instant_noodle|stew,false,derived,unknown,unknown,known,unknown,high
world-008,チャンポン,world_noodle_soup,韓国,,7,seafood_forward|animal_forward|vegetables|seafood_ingredient|soup|umami_forward|spicy,3,seafood_forward|vegetables|seafood_ingredient,false,derived,known,unknown,known,known,medium
world-009,カルグクス,world_noodle_soup,韓国,,6,dashi_forward|animal_forward|handmade|soup|light|umami_forward,3,dashi_forward|handmade|light,false,known,known,derived,known,unknown,low
world-010,冷麺,world_noodle_soup,韓国,,6,animal_forward|firm_noodle|elastic_noodle|buckwheat_noodle|cold|sour,4,firm_noodle|elastic_noodle|buckwheat_noodle|cold,false,derived,derived,derived,known,unknown,low
world-011,フォー・ボー,world_noodle_soup,ベトナム,,7,animal_forward|beef_bone|rice_noodle|soup|light|umami_forward|herbal,4,beef_bone|rice_noodle|light|herbal,false,known,known,derived,known,unknown,low
world-012,ブンボーフエ,world_noodle_soup,ベトナム,,6,animal_forward|rice_noodle|soup|umami_forward|spicy|herbal,2,rice_noodle|herbal,false,known,derived,derived,known,unknown,low
world-013,フーティウ,world_noodle_soup,ベトナム,,7,seafood_forward|animal_forward|seafood_ingredient|meat_ingredient|rice_noodle|brothless|umami_forward,5,seafood_forward|seafood_ingredient|meat_ingredient|rice_noodle|brothless,false,derived,known,derived,known,known,low
world-014,クイティウ,world_noodle_soup,カンボジア,,6,animal_forward|breakfast_culture|rice_noodle|soup|light|umami_forward,3,breakfast_culture|rice_noodle|light,false,known,derived,derived,known,unknown,low
world-015,ボートヌードル,world_noodle_soup,タイ,,5,animal_forward|soup|shared_serving|rich|spicy,3,shared_serving|rich|spicy,false,known,derived,unknown,known,unknown,medium
world-016,トムヤムヌードル,world_noodle_soup,タイ,,6,animal_forward|soup|umami_forward|spicy|sour|herbal,1,herbal,false,known,derived,unknown,known,unknown,medium
world-017,カオソーイ,world_noodle_soup,タイ,,6,curry|animal_forward|coconut|fried_noodle|soup|rich,3,curry|coconut|fried_noodle,false,derived,known,derived,known,known,low
world-018,カレーラクサ,world_noodle_soup,マレーシア・シンガポール,,9,curry|seafood_forward|animal_forward|seafood_ingredient|coconut|soup|rich|umami_forward|spicy,4,curry|seafood_forward|seafood_ingredient|coconut,false,derived,known,unknown,known,known,medium
world-019,アッサムラクサ,world_noodle_soup,マレーシア,,7,seafood_forward|seafood_ingredient|soup|umami_forward|spicy|sour|herbal,3,seafood_forward|seafood_ingredient|herbal,false,known,known,unknown,known,known,medium
world-020,プロウンミー,world_noodle_soup,シンガポール・マレーシア,,7,dashi_forward|seafood_forward|animal_forward|seafood_ingredient|soup|umami_forward|spicy,3,dashi_forward|seafood_forward|seafood_ingredient,false,derived,known,unknown,known,known,medium
world-021,ミー・チェロール,world_noodle_soup,インドネシア,,7,ankake|seafood_forward|seafood_ingredient|coconut|soup|rich|umami_forward,4,ankake|seafood_forward|seafood_ingredient|coconut,false,derived,known,unknown,known,known,medium
world-022,ミー・バクソ,world_noodle_soup,インドネシア,,5,animal_forward|street_food|meat_ingredient|soup|light,3,street_food|meat_ingredient|light,false,known,derived,unknown,known,known,medium
world-023,モヒンガー,world_noodle_soup,ミャンマー,,8,seafood_forward|breakfast_culture|seafood_ingredient|rice_noodle|soup|umami_forward|fermented|herbal,5,seafood_forward|breakfast_culture|seafood_ingredient|rice_noodle|herbal,false,known,known,derived,known,known,low
world-024,トゥクパ,world_noodle_soup,チベット・ネパール・インド,,4,vegetables|meat_ingredient|soup|hot,3,vegetables|meat_ingredient|hot,false,derived,unknown,unknown,known,known,medium
world-025,テントゥク,world_noodle_soup,チベット,,4,traditional|handmade|irregular_noodle|stew,4,traditional|handmade|irregular_noodle|stew,false,derived,unknown,derived,known,unknown,medium
world-026,ラグマン,world_noodle_soup,中央アジア,,5,animal_forward|vegetables|meat_ingredient|hand_stretched|soup,3,vegetables|meat_ingredient|hand_stretched,false,derived,derived,derived,known,known,low
world-027,アーシュ・レシュテ,world_noodle_soup,イラン,,6,dairy|beans|soup|rich|fermented|herbal,4,dairy|beans|rich|herbal,false,known,unknown,unknown,known,known,medium
world-028,サイミン,global_ramen_culture,アメリカ合衆国・ハワイ,,5,animal_forward|multicultural|thin_noodle|light|umami_forward,3,multicultural|thin_noodle|light,false,known,derived,derived,unknown,unknown,medium
world-029,ソパ・ワンタン,world_noodle_soup,ペルー,,4,animal_forward|chinese_influenced|wonton|soup,2,chinese_influenced|wonton,false,derived,derived,unknown,known,known,medium
world-030,ソパ・デ・フィデオ,world_noodle_soup,メキシコ,,5,animal_forward|traditional|vegetables|irregular_noodle|soup,3,traditional|vegetables|irregular_noodle,false,derived,derived,derived,known,known,low
